rep_id,success,n_obs,event_rate,n_events,f_stat_naive,f_stat_cluster,n_clusters,gamma_hat,gamma_se,lambda_hat,gamma_ci_lo,gamma_ci_hi,gamma_covers_true,elapsed_sec
81,True,40000,0.030025,1201,37855.76971915096,66323.40278199984,32,0.47881506259290174,0.029455587161825468,0.37238352923572465,0.42108211175572385,0.5365480134300796,True,41.38
82,True,40000,0.029125,1165,38065.68136418988,55977.807973739866,32,0.4497594443433054,0.029545975656270217,0.39281252055194443,0.3918493320570158,0.507669556629595,True,41.11
83,True,40000,0.030225,1209,37904.284033898395,41884.18217672755,32,0.5524937494908423,0.030132661450092118,0.32518646454612654,0.4934337330486617,0.6115537659330228,True,41.15
84,True,40000,0.0292,1168,37559.11484949472,76074.4415837126,32,0.453801605285408,0.030013306225885543,0.4221823870462979,0.39497552508267236,0.5126276854881437,True,41.37
85,True,40000,0.02925,1170,37884.491421783845,76487.61705968206,32,0.5293007658513299,0.030476586723971865,0.32271209302813836,0.46956665587234503,0.5890348758303148,True,41.33
86,True,40000,0.028575,1143,37871.42846501917,33649.30842292068,32,0.44606224702297165,0.030703780185070372,0.42908752253752797,0.3858828378602337,0.5062416561857096,True,41.18
87,True,40000,0.03075,1230,37265.35479546186,33673.79134546882,32,0.4805405563008469,0.029758911415410372,0.3676681632484232,0.4222130899266426,0.5388680226750513,True,41.28
88,True,40000,0.030775,1231,37118.186499558586,26745.198952358853,32,0.42524059635780886,0.02964741290713194,0.42076761575544314,0.36713166705983025,0.4833495256557875,False,41.23
89,True,40000,0.0301,1204,38319.172567825284,86753.8820111202,32,0.4938683425047683,0.03039215325026108,0.3626611020201894,0.4342997221342566,0.55343696287528,True,41.26
90,True,40000,0.032475,1299,37329.22625102462,28580.670259769176,32,0.4974616469129687,0.029329947913521785,0.3139619420082697,0.439974949002466,0.5549483448234713,True,41.77
91,True,40000,0.02975,1190,36705.030766587566,25108.091968722438,32,0.4615393580987732,0.030134164418500278,0.3809423098693749,0.4024763958385127,0.5206023203590338,True,41.09
92,True,40000,0.02975,1190,37266.007425852804,37889.23387455865,32,0.5284843910154,0.029529824466492893,0.37783095509681563,0.47060593506107395,0.5863628469697261,True,41.29
93,True,40000,0.02975,1190,37738.585696072754,35171.69425928537,32,0.4982023975355463,0.03019677405521303,0.36513097455513915,0.43901672038732875,0.5573880746837638,True,41.26
94,True,40000,0.02885,1154,36728.322676963195,66091.27690853656,32,0.5501356503383328,0.03188345874111201,0.25764812248540925,0.48764407120575326,0.6126272294709123,True,41.23
95,True,40000,0.0301,1204,37677.768919911985,30510.715992155005,32,0.5093429388533663,0.029675345191559902,0.3373685249845405,0.45117926227790894,0.5675066154288237,True,41.36
96,True,40000,0.0299,1196,37621.84166900918,26966.75528436573,32,0.4888959464183908,0.029709607568817988,0.3031570856942402,0.4306651155835075,0.5471267772532741,True,41.24
97,True,40000,0.031125,1245,37680.206810531425,44181.24125872944,32,0.45729202511179246,0.028631386501088256,0.3507915725071401,0.40117450756965944,0.5134095426539255,True,41.44
98,True,40000,0.02825,1130,37476.953148784756,27796.442066994132,32,0.5029220025547063,0.030890236414208624,0.3592769120390379,0.4423771391828574,0.5634668659265553,True,40.92
99,True,40000,0.0303,1212,37451.99414405066,47987.99207912591,32,0.506643529055047,0.02960930601935348,0.333030986555902,0.44860928925711413,0.5646777688529798,True,46.11
