source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2664,H,2025,6.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,56356.35,56356.35,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,I,2025,7.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,61131.43,61131.43,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,J,2025,8.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,52096.28,52096.28,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,K,2025,9.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,72744.13,72744.13,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,L,2025,10.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,65200.77,65200.77,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,M,2025,11.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,95184.76,95184.76,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,N,2025,12.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,73980.29,73980.29,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,C,2025,1.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,428105.9,428105.9,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,D,2025,2.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,447057.37,447057.37,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,E,2025,3.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,F,2025,4.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,274247.25,274247.25,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,G,2025,5.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,H,2025,6.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,I,2025,7.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,J,2025,8.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,K,2025,9.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,L,2025,10.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,M,2025,11.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,404597.7,404597.7,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2665,N,2025,12.0,monthly,subject,Республика Саха (Якутия),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,C,2025,1.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,D,2025,2.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,424210.32,424210.32,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,E,2025,3.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,F,2025,4.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,289000,289000.0,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,G,2025,5.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,H,2025,6.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,I,2025,7.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,J,2025,8.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,K,2025,9.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,L,2025,10.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,M,2025,11.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,368832.64,368832.64,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2666,N,2025,12.0,monthly,subject,Камчатский край,,Олени северные,01.49.19.110,210688.58,210688.58,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,C,2025,1.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,D,2025,2.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
